Player,Team,Pass Yd. Proj.,PA Proj.,Pred. Completions,Final TD Proj.,Final INT Proj.
Jared Goff,DET,269.5674357001229,33.45615364217707,22.35396595191835,1.5775344646863523,0.7517326341488361
Dak Prescott,DAL,265.5683207443688,35.13759843539519,23.34858269819142,1.655062126913125,0.7753926677238697
Kirk Cousins,ATL,260.21510258251254,33.851350636907455,22.80136217584029,1.654984490453976,0.7522641498786699
Brock Purdy,SF,251.15415540777676,31.301018676609377,19.40271116328363,1.6858845211826423,0.7643462249978739
Joe Burrow,CIN,247.37471720008918,33.16581947937512,21.795574328360562,1.692530729325391,0.6750345335888807
Jordan Love,GB,245.3331507110991,35.370259752441235,21.960672885356715,1.949794202392487,0.9664071837208446
Geno Smith,SEA,241.34001489575746,35.00757042064021,23.11208687500408,1.3422220825143714,0.8891638823104459
Lamar Jackson,BAL,238.89550372315094,29.9063411560388,19.63640490858684,1.649290724999173,0.6247916439611099
C.J. Stroud,HOU,236.77608886004097,32.24032060524911,21.029861044964303,1.4967964981321964,0.6921065627116946
Caleb Williams,CHI,233.18035359732002,30.739882610370124,19.531536208096757,1.4118511077285691,0.7980477192908398
Andy Dalton,CAR,231.19684998330726,33.17046253328896,21.73408741816762,1.5314909731471786,0.8799871466967428
Baker Mayfield,TB,230.730602706207,31.206904481867653,20.98651902770823,1.671574713948687,0.8180158530557569
Jayden Daniels,WAS,224.81882314041948,29.55730455038106,19.850078955715578,1.317272585723673,0.7093663789325213
Trevor Lawrence,JAC,224.37718762829607,32.734659011361494,20.234327108757657,1.3027097122680191,0.7408937908967863
Jalen Hurts,PHI,222.98400591172057,28.91443949878196,18.489109655708685,1.2380912088411389,0.6880572986389782
Aaron Rodgers,NYJ,219.95810126697862,34.16508089121771,22.243956858150984,1.8907316040792082,0.5813055695984142
Kyler Murray,ARI,206.36997744765557,31.131123003222527,20.820860506706364,1.3817788778099709,0.6509004540574094
Josh Allen,BUF,202.41980764626723,30.127043213478085,19.04902017418291,1.6188368891533602,0.6317424872238948
Deshaun Watson,CLE,201.26991326491026,32.253074770977264,21.00511677325954,1.4973894397929737,0.6984173093922001
Justin Herbert,LAC,187.0595489828726,30.05679472643603,18.876909185832066,1.4098336475381652,0.5674925530139892
Bo Nix,DEN,169.92820807473106,28.853523115078694,17.062319871959577,1.2387662286535936,0.7496245639926681
