Player,Position,Team,Target Share,Catch Rate,Proj. Receptions,Final YpC,Proj. Receiving Yards,Proj. RecTDs,ATTD Prob. %,Standard Fantasy Score,PPR Fantasy Score
Jayden Reed,WR,GB,0.18975897597563343,0.6555350415444384,4.399836002076843,19.13338550619557,84.18375839177453,0.3105280820057339,67.92044204228472,10.281544331211858,14.6813803332887
Ja'Marr Chase,WR,CIN,0.21821545363017728,0.712496035237517,5.156543525026655,15.336505454530736,79.08335789809644,0.3238069091667405,28.709087894676617,9.851177244810087,15.007720769836741
Marvin Harrison,WR,ARI,0.24516149257696976,0.5857300574673859,4.470381169908391,17.403733129612206,77.80132086872923,0.3630215430563901,30.86886257004852,9.958261345211264,14.428642515119655
Terry McLaurin,WR,WAS,0.2588288949566675,0.6501003533191857,4.973452639977075,15.062766749138955,74.91395705386404,0.6494535102742556,43.36547688567673,11.388116767031939,16.361569407009014
Chris Godwin,WR,TB,0.2624401740704365,0.7144711641186192,5.851479855743334,12.553797204817528,73.45829145707674,0.41388974618002744,32.089040432595155,9.829167622787839,15.680647478531174
Jameson Williams,WR,DET,0.18407595369711705,0.6230675078387854,3.8371446664018856,18.85799446433775,72.36085287786987,0.27921963575916386,25.26554747716642,8.911403102341971,12.748547768743856
Drake London,WR,ATL,0.27092207274181496,0.6727103695347094,6.169479324000375,11.69528318257414,72.15380778322046,0.3966661580609534,34.19872914267423,9.595377726687765,15.76485705068814
DK Metcalf,WR,SEA,0.219074969128609,0.6451952659443415,4.948184703586285,14.129956103735475,69.91763265484954,0.26694009977082533,27.107874017694407,8.593403864109906,13.541588567696191
Amon-Ra St. Brown,WR,DET,0.282895284387792,0.6907865653658553,6.538010305597346,10.683527045230571,69.84900992184544,0.41372072317116876,31.95571004305673,9.467225331211557,16.005235636808905
CeeDee Lamb,WR,DAL,0.22781393717543516,0.626730533213944,5.016874283756394,13.558861081044187,68.023101474516,0.2908802170810385,28.105212951435295,8.54759144993783,13.564465733694224
Brian Thomas,WR,JAC,0.2136006532220618,0.6203665506875732,4.337692595045143,15.584022072891303,67.59869714660066,0.2700347391721796,26.305257121439258,8.380078149693144,12.717770744738287
Brandon Aiyuk,WR,SF,0.2198754974952424,0.6111142769523668,4.205888321127198,15.352409488343763,64.57051976818741,0.3246441911420143,28.47077668832384,8.404917123670828,12.610805444798025
Darnell Mooney,WR,ATL,0.22904022417163708,0.6298773228278928,4.883641035698521,13.193365767008162,64.43166245874116,0.3051719375617576,25.99290459424995,8.274197871244661,13.157838906943184
Jauan Jennings,WR,SF,0.20141585202460202,0.6527949874635449,4.115559933017404,15.471097102835385,63.67222735625095,0.26952236339461316,27.242846849872688,7.984356915992774,12.099916849010178
Garrett Wilson,WR,NYJ,0.2713420598828376,0.6105530565769767,5.660085357949543,10.972990543411408,62.10806310768171,0.3769497874224567,30.310001838559668,8.47250503530291,14.132590393252453
Zay Flowers,WR,BAL,0.2639549404239109,0.6447513655727243,5.089619889406076,12.117968013750598,61.67585102197168,0.32989714260186687,29.092144708197903,8.14696795780837,13.236587847214444
Mike Evans,WR,TB,0.24270373248547902,0.650882175358579,4.929802552662953,12.497042971889082,61.60795434355742,0.3290060802520058,30.329353742842606,8.134831915867776,13.06463446853073
Diontae Johnson,WR,CAR,0.24584413856573026,0.6030950600943673,4.91809775637109,12.159471121816438,59.80146764286448,0.32874180214712123,29.22843781314229,7.9525975771691755,12.870695333540265
Stefon Diggs,WR,HOU,0.23203535702424108,0.6900298321895447,5.162040239985119,11.58361205373119,59.79507154573707,0.27797423152122197,26.175919552915026,7.6473525437010395,12.809392783686159
Ladd McConkey,WR,LAC,0.2493309187699615,0.6339045034239422,4.7505362871958035,12.176805635524744,57.84635703369065,0.2985100641529444,26.801136954254673,7.5756960882867315,12.326232375482535
Courtland Sutton,WR,DEN,0.24019186605588475,0.5450855439776474,3.7776508022222552,14.503048929009108,54.78745442133987,0.3886469082998469,31.863062963252037,7.810626891933069,11.588277694155323
